Gene,p value Asian,mutation rates
C3P1,4.91443932977982e-08,0.333333333333333
C3orf20,4.91443932977982e-08,0.333333333333333
C3orf35,4.91443932977982e-08,0.333333333333333
C4BPA,4.91443932977982e-08,0.333333333333333
C4orf17,4.91443932977982e-08,0.333333333333333
C4orf50,4.91443932977982e-08,0.333333333333333
C5orf42,4.91443932977982e-08,0.333333333333333
C6orf226,4.91443932977982e-08,0.333333333333333
C7orf60,4.91443932977982e-08,0.333333333333333
C8B,4.91443932977982e-08,0.333333333333333
C8orf33,4.91443932977982e-08,0.333333333333333
C9,4.91443932977982e-08,0.333333333333333
C9orf131,4.91443932977982e-08,0.333333333333333
C9orf170,4.91443932977982e-08,0.333333333333333
C9orf24,4.91443932977982e-08,0.333333333333333
C9orf43,4.91443932977982e-08,0.333333333333333
CA12,4.91443932977982e-08,0.333333333333333
CA5B,4.91443932977982e-08,0.333333333333333
CA5BP1,4.91443932977982e-08,0.333333333333333
CA8,4.91443932977982e-08,0.333333333333333
CABYR,4.91443932977982e-08,0.333333333333333
CACNA1B,4.91443932977982e-08,0.333333333333333
CACNA1D,4.91443932977982e-08,0.333333333333333
CACNA1E,4.91443932977982e-08,0.333333333333333
CACNA1F,4.91443932977982e-08,0.333333333333333
CACNA1I,4.91443932977982e-08,0.333333333333333
CACNG3,4.91443932977982e-08,0.333333333333333
CACNG7,4.91443932977982e-08,0.333333333333333
CACUL1,4.91443932977982e-08,0.333333333333333
CADM3,4.91443932977982e-08,0.333333333333333
CADPS,4.91443932977982e-08,0.333333333333333
CAGE1,4.91443932977982e-08,0.333333333333333
CALCOCO1,4.91443932977982e-08,0.333333333333333
CALCOCO2,4.91443932977982e-08,0.333333333333333
CALM1,4.91443932977982e-08,0.333333333333333
CAMK2D,4.91443932977982e-08,0.333333333333333
CAMKMT,4.91443932977982e-08,0.333333333333333
CAMSAP1,4.91443932977982e-08,0.333333333333333
CAND1,4.91443932977982e-08,0.333333333333333
CAPN13,4.91443932977982e-08,0.333333333333333
CAPN6,4.91443932977982e-08,0.333333333333333
CAPN7,4.91443932977982e-08,0.333333333333333
CAPRIN1,4.91443932977982e-08,0.333333333333333
CAPRIN2,4.91443932977982e-08,0.333333333333333
CARTPT,4.91443932977982e-08,0.333333333333333
CASC1,4.91443932977982e-08,0.333333333333333
CASC4,4.91443932977982e-08,0.333333333333333
CASC5,4.91443932977982e-08,0.333333333333333
CASD1,4.91443932977982e-08,0.333333333333333
CASP2,4.91443932977982e-08,0.333333333333333
CASP7,4.91443932977982e-08,0.333333333333333
CASP8,4.91443932977982e-08,0.333333333333333
CASP8AP2,4.91443932977982e-08,0.333333333333333
CAST,4.91443932977982e-08,0.333333333333333
CATSPERB,4.91443932977982e-08,0.333333333333333
CATSPERD,4.91443932977982e-08,0.333333333333333
CAV2,4.91443932977982e-08,0.333333333333333
CBFA2T3,4.91443932977982e-08,0.333333333333333
CBLB,4.91443932977982e-08,0.333333333333333
CBX6,4.91443932977982e-08,0.333333333333333
CC2D2B,4.91443932977982e-08,0.333333333333333
CCBE1,4.91443932977982e-08,0.333333333333333
CCDC108,4.91443932977982e-08,0.333333333333333
CCDC114,4.91443932977982e-08,0.333333333333333
CCDC129,4.91443932977982e-08,0.333333333333333
CCDC13,4.91443932977982e-08,0.333333333333333
CCDC15,4.91443932977982e-08,0.333333333333333
CCDC185,4.91443932977982e-08,0.333333333333333
CCDC22,4.91443932977982e-08,0.333333333333333
CCDC34,4.91443932977982e-08,0.333333333333333
CCDC65,4.91443932977982e-08,0.333333333333333
CCDC67,4.91443932977982e-08,0.333333333333333
CCDC7,4.91443932977982e-08,0.333333333333333
CCDC73,4.91443932977982e-08,0.333333333333333
CCDC88A,4.91443932977982e-08,0.333333333333333
CCDC89,4.91443932977982e-08,0.333333333333333
CCDC93,4.91443932977982e-08,0.333333333333333
CCER1,4.91443932977982e-08,0.333333333333333
CCIN,4.91443932977982e-08,0.333333333333333
CCNA1,4.91443932977982e-08,0.333333333333333
CCNB2,4.91443932977982e-08,0.333333333333333
CCNB3,4.91443932977982e-08,0.333333333333333
CCND2,4.91443932977982e-08,0.333333333333333
CCNI,4.91443932977982e-08,0.333333333333333
CCNI2,4.91443932977982e-08,0.333333333333333
CCNT1,4.91443932977982e-08,0.333333333333333
CCNYL1,4.91443932977982e-08,0.333333333333333
CCPG1,4.91443932977982e-08,0.333333333333333
CCR8,4.91443932977982e-08,0.333333333333333
CCT4,4.91443932977982e-08,0.333333333333333
CCT5,4.91443932977982e-08,0.333333333333333
CCT6B,4.91443932977982e-08,0.333333333333333
CCZ1,4.91443932977982e-08,0.333333333333333
