"","Gene","p value"
"452","FAM229A","1"
"453","BSDC1","1"
"454","ZBTB8B","1"
"455","ZBTB8A","1"
"456","ZBTB8OS","1"
"457","RBBP4","0.729446774486572"
"458","SYNC","1"
"459","KIAA1522","0.858326574223094"
"460","YARS","1"
"461","S100PBP","1"
"462","FNDC5","1"
"463","HPCA","NaN"
"464","TMEM54","1"
"465","RNF19B","0.00656932163850666"
"466","RP1-117O3.2","NaN"
"467","AK2","1"
"468","TRIM62","1"
"469","ZNF362","1"
"470","A3GALT2","NaN"
"471","PHC2","0.0648841218305601"
"472","ZSCAN20","1"
"473","CSMD2","0.182758403291072"
"474","HMGB4","1"
"475","C1orf94","0.999999999999999"
"476","SMIM12","1"
"477","GJB5","1"
"478","GJB4","1"
"479","GJB3","0.999999999999999"
"480","GJA4","1"
"481","DLGAP3","1"
"482","RP11-244H3.1","NaN"
"483","ZMYM6","0.943593186630093"
"484","ZMYM6NB","1"
"485","ZMYM1","1"
"486","SFPQ","0.999999999999999"
"487","ZMYM4","0.735152093284578"
"488","KIAA0319L","0.864970730776298"
"489","NCDN","0.999999999999999"
"490","TFAP2E","NaN"
"491","PSMB2","1"
"492","C1orf216","1"
"493","CLSPN","0.999999999999999"
"494","AGO4","0.999999999999999"
"495","AGO1","0.999999999999999"
"496","AGO3","0.858326574223094"
"497","TEKT2","1"
"498","ADPRHL2","0.367035015390571"
"499","COL8A2","1"
"500","TRAPPC3","1"
"501","MAP7D1","1"
"502","THRAP3","0.999999999999999"
"503","SH3D21","0.367035015390571"
"504","EVA1B","NaN"
"505","STK40","0.858326574223094"
"506","LSM10","1"
"507","OSCP1","0.999999999999999"
"508","MRPS15","1"
"509","CSF3R","0.943593186630093"
"510","GRIK3","0.999999999999999"
"511","MIR4255","NaN"
"512","ZC3H12A","0.999999999999999"
"513","MEAF6","0.367035015390571"
"514","SNIP1","1"
"515","DNALI1","1"
"516","GNL2","0.999999999999999"
"517","RSPO1","1"
"518","C1orf109","NaN"
"519","CDCA8","1"
"520","EPHA10","NaN"
"521","MANEAL","NaN"
"522","YRDC","NaN"
"523","C1orf122","1"
"524","MTF1","0.999999999999999"
"525","INPP5B","0.943593186630093"
"526","SF3A3","0.569997928420165"
"527","FHL3","1"
"528","UTP11L","0.965425816035986"
"529","POU3F1","1"
"530","RP11-334L9.1","NaN"
"531","RRAGC","1"
"532","MYCBP","NaN"
"533","GJA9","1"
"534","RHBDL2","1"
"535","AKIRIN1","1"
"536","NDUFS5","1"
"537","MACF1","0.999999999999999"
"538","BMP8A","NaN"
"539","PPIEL","NaN"
"540","PABPC4","0.569997928420165"
"541","HEYL","1"
"542","NT5C1A","1"
"543","HPCAL4","1"
"544","PPIE","1"
"545","BMP8B","1"
"546","OXCT2","1"
"547","TRIT1","0.999999999999999"
"548","MYCL","1"
"549","MFSD2A","NaN"
"550","CAP1","1"
"551","PPT1","NaN"
"552","RLF","0.510482848310082"
"553","TMCO2","1"
"554","ZMPSTE24","1"
"555","COL9A2","1"
"556","SMAP2","0.999999999999999"
"557","ZFP69B","0.367035015390571"
"558","ZFP69","0.999999999999999"
"559","EXO5","1"
"560","ZNF684","1"
"561","RIMS3","1"
"562","NFYC","0.999999999999999"
"563","KCNQ4","1"
"564","CITED4","NaN"
"565","CTPS1","1"
"566","SLFNL1","NaN"
"567","SCMH1","0.0648841218305601"
"568","EDN2","1"
"569","HIVEP3","0.587491282698223"
"570","GUCA2B","NaN"
"571","GUCA2A","NaN"
"572","FOXJ3","1"
"573","RIMKLA","1"
"574","ZMYND12","1"
"575","PPCS","NaN"
"576","CCDC30","0.569997928420165"
"577","RP11-163G10.2","NaN"
"578","PPIH","1"
"579","YBX1","1"
"580","CLDN19","1"
"581","C1orf50","1"
"582","CCDC23","1"
"583","ERMAP","0.999999999999999"
"584","ZNF691","1"
"585","RP11-342M1.7","1"
"586","SLC2A1","0.117100037169376"
"587","FAM183A","NaN"
"588","EBNA1BP2","1"
"589","TMEM125","1"
"590","C1orf210","NaN"
"591","TIE1","1"
"592","MPL","1"
"593","CDC20","1"
"594","ELOVL1","NaN"
"595","MED8","1"
"596","SZT2","0.631771442979384"
"597","HYI","NaN"
"598","PTPRF","0.999999999999999"
"599","KDM4A","0.999999999999999"
"600","ST3GAL3","0.858326574223094"
"601","ARTN","1"
"602","IPO13","1"
"603","DPH2","0.999999999999999"
"604","ATP6V0B","0.0648841218305601"
"605","B4GALT2","NaN"
"606","CCDC24","0.999999999999999"
"607","SLC6A9","1"
"608","RP5-1198O20.4","NaN"
"609","KLF17","1"
"610","DMAP1","1"
