"","Gene","p value"
"378","SLC9A1","0.999999999999999"
"379","WDTC1","0.999999999999999"
"380","TMEM222","NaN"
"381","SYTL1","NaN"
"382","MAP3K6","0.999999999999999"
"383","FCN3","NaN"
"384","CD164L2","NaN"
"385","GPR3","NaN"
"386","WASF2","0.999999999999999"
"387","AHDC1","NaN"
"388","FGR","NaN"
"389","IFI6","NaN"
"390","FAM76A","0.999999999999999"
"391","STX12","NaN"
"392","PPP1R8","NaN"
"393","THEMIS2","NaN"
"394","RPA2","NaN"
"395","SMPDL3B","0.999999999999999"
"396","XKR8","NaN"
"397","EYA3","0.999999999999999"
"398","SPCS2P4","NaN"
"399","RP5-1053E7.3","NaN"
"400","PTAFR","NaN"
"401","DNAJC8","NaN"
"402","ATPIF1","0.999999999999999"
"403","SESN2","NaN"
"404","MED18","NaN"
"405","PHACTR4","NaN"
"406","RCC1","0.999999999999999"
"407","SNORA73B","NaN"
"408","TRNAU1AP","NaN"
"409","TAF12","NaN"
"410","RAB42","NaN"
"411","RNU11","NaN"
"412","GMEB1","NaN"
"413","YTHDF2","NaN"
"414","OPRD1","NaN"
"415","EPB41","NaN"
"416","TMEM200B","NaN"
"417","SRSF4","NaN"
"418","MECR","NaN"
"419","PTPRU","NaN"
"420","AC092265.1","NaN"
"421","MATN1","NaN"
"422","LAPTM5","NaN"
"423","SDC3","NaN"
"424","PUM1","0.999999999999999"
"425","NKAIN1","NaN"
"426","SNRNP40","0.999999999999999"
"427","ZCCHC17","NaN"
"428","FABP3","NaN"
"429","SERINC2","NaN"
"430","AC114494.1","NaN"
"431","TINAGL1","NaN"
"432","HCRTR1","NaN"
"433","PEF1","NaN"
"434","COL16A1","NaN"
"435","SPOCD1","0.999999999999999"
"436","PTP4A2","NaN"
"437","KHDRBS1","NaN"
"438","TMEM39B","NaN"
"439","KPNA6","NaN"
"440","TXLNA","NaN"
"441","CCDC28B","NaN"
"442","IQCC","NaN"
"443","DCDC2B","NaN"
"444","TMEM234","NaN"
"445","EIF3I","NaN"
"446","MTMR9LP","NaN"
"447","FAM167B","NaN"
"448","LCK","NaN"
"449","HDAC1","NaN"
"450","MARCKSL1","0.999999999999999"
"451","TSSK3","NaN"
"452","FAM229A","NaN"
"453","BSDC1","NaN"
"454","ZBTB8B","NaN"
"455","ZBTB8A","NaN"
"456","ZBTB8OS","0.999999999999999"
"457","RBBP4","0.999999999999998"
"458","SYNC","NaN"
"459","KIAA1522","NaN"
"460","YARS","0.999999999999999"
"461","S100PBP","0.999999999999999"
"462","FNDC5","NaN"
"463","HPCA","NaN"
"464","TMEM54","0.999999999999999"
"465","RNF19B","0.999999999999999"
"466","RP1-117O3.2","NaN"
"467","AK2","NaN"
"468","TRIM62","NaN"
"469","ZNF362","NaN"
"470","A3GALT2","NaN"
"471","PHC2","NaN"
"472","ZSCAN20","0.999999999999998"
"473","CSMD2","0.999999999999999"
"474","HMGB4","NaN"
"475","C1orf94","NaN"
"476","SMIM12","NaN"
"477","GJB5","NaN"
"478","GJB4","NaN"
"479","GJB3","NaN"
"480","GJA4","NaN"
"481","DLGAP3","NaN"
"482","RP11-244H3.1","NaN"
"483","ZMYM6","NaN"
"484","ZMYM6NB","NaN"
"485","ZMYM1","NaN"
"486","SFPQ","NaN"
"487","ZMYM4","0.999999999999999"
"488","KIAA0319L","0.999999999999999"
"489","NCDN","NaN"
"490","TFAP2E","NaN"
"491","PSMB2","NaN"
"492","C1orf216","NaN"
"493","CLSPN","NaN"
"494","AGO4","NaN"
"495","AGO1","NaN"
"496","AGO3","NaN"
"497","TEKT2","NaN"
"498","ADPRHL2","NaN"
"499","COL8A2","NaN"
"500","TRAPPC3","NaN"
"501","MAP7D1","0.999999999999999"
"502","THRAP3","NaN"
"503","SH3D21","NaN"
"504","EVA1B","NaN"
"505","STK40","NaN"
"506","LSM10","NaN"
"507","OSCP1","NaN"
"508","MRPS15","NaN"
"509","CSF3R","0.999999999999999"
"510","GRIK3","NaN"
"511","MIR4255","NaN"
"512","ZC3H12A","0.999999999999999"
"513","MEAF6","0.999999999999999"
"514","SNIP1","NaN"
"515","DNALI1","0.105266754692227"
"516","GNL2","NaN"
"517","RSPO1","NaN"
"518","C1orf109","NaN"
"519","CDCA8","NaN"
"520","EPHA10","NaN"
"521","MANEAL","NaN"
"522","YRDC","NaN"
"523","C1orf122","NaN"
"524","MTF1","0.105266754692227"
"525","INPP5B","NaN"
"526","SF3A3","NaN"
"527","FHL3","NaN"
"528","UTP11L","0.999999999999999"
"529","POU3F1","NaN"
"530","RP11-334L9.1","NaN"
"531","RRAGC","NaN"
"532","MYCBP","NaN"
"533","GJA9","NaN"
"534","RHBDL2","NaN"
"535","AKIRIN1","NaN"
"536","NDUFS5","0.999999999999999"
"537","MACF1","0.999999999999999"
"538","BMP8A","NaN"
"539","PPIEL","NaN"
"540","PABPC4","NaN"
"541","HEYL","NaN"
"542","NT5C1A","NaN"
"543","HPCAL4","NaN"
"544","PPIE","NaN"
"545","BMP8B","NaN"
"546","OXCT2","NaN"
"547","TRIT1","NaN"
"548","MYCL","NaN"
"549","MFSD2A","NaN"
"550","CAP1","NaN"
"551","PPT1","0.999999999999999"
"552","RLF","0.999999999999999"
"553","TMCO2","NaN"
"554","ZMPSTE24","0.999999999999999"
"555","COL9A2","NaN"
"556","SMAP2","NaN"
"557","ZFP69B","NaN"
"558","ZFP69","NaN"
"559","EXO5","NaN"
"560","ZNF684","NaN"
"561","RIMS3","NaN"
"562","NFYC","NaN"
"563","KCNQ4","NaN"
"564","CITED4","NaN"
"565","CTPS1","0.999999999999999"
"566","SLFNL1","NaN"
"567","SCMH1","NaN"
"568","EDN2","NaN"
"569","HIVEP3","NaN"
"570","GUCA2B","0.999999999999999"
"571","GUCA2A","NaN"
"572","FOXJ3","NaN"
"573","RIMKLA","NaN"
"574","ZMYND12","0.999999999999999"
"575","PPCS","NaN"
"576","CCDC30","1"
"577","RP11-163G10.2","NaN"
"578","PPIH","NaN"
"579","YBX1","NaN"
"580","CLDN19","NaN"
"581","C1orf50","NaN"
"582","CCDC23","NaN"
"583","ERMAP","NaN"
"584","ZNF691","NaN"
"585","RP11-342M1.7","NaN"
"586","SLC2A1","NaN"
"587","FAM183A","NaN"
"588","EBNA1BP2","NaN"
"589","TMEM125","NaN"
"590","C1orf210","0.999999999999999"
"591","TIE1","NaN"
"592","MPL","NaN"
"593","CDC20","NaN"
"594","ELOVL1","0.999999999999998"
"595","MED8","NaN"
"596","SZT2","0.999999999999999"
"597","HYI","NaN"
"598","PTPRF","NaN"
"599","KDM4A","NaN"
"600","ST3GAL3","NaN"
"601","ARTN","NaN"
"602","IPO13","NaN"
"603","DPH2","NaN"
"604","ATP6V0B","0.999999999999999"
"605","B4GALT2","0.999999999999999"
"606","CCDC24","0.999999999999999"
"607","SLC6A9","NaN"
"608","RP5-1198O20.4","NaN"
"609","KLF17","NaN"
"610","DMAP1","NaN"
"611","ERI3","NaN"
"612","RNF220","0.999999999999999"
"613","TMEM53","0.999999999999999"
"614","C1orf228","NaN"
"615","KIF2C","NaN"
"616","RPS8","NaN"
"617","BEST4","NaN"
"618","PLK3","NaN"
"619","TCTEX1D4","NaN"
"620","BTBD19","NaN"
"621","PTCH2","NaN"
"622","EIF2B3","NaN"
"623","HECTD3","NaN"
"624","UROD","NaN"
"625","ZSWIM5","NaN"
"626","HPDL","0.999999999999999"
"627","MUTYH","NaN"
"628","TOE1","NaN"
"629","TESK2","NaN"
"630","CCDC163P","NaN"
"631","MMACHC","NaN"
"632","PRDX1","0.999999999999999"
"633","AKR1A1","NaN"
"634","NASP","NaN"
"635","CCDC17","NaN"
"636","GPBP1L1","NaN"
"637","TMEM69","NaN"
"638","IPP","NaN"
"639","MAST2","0.999999999999999"
"640","PIK3R3","0.999999999999999"
"641","TSPAN1","NaN"
"642","POMGNT1","0.999999999999999"
"643","LURAP1","NaN"
"644","RAD54L","NaN"
"645","LRRC41","NaN"
"646","UQCRH","NaN"
"647","NSUN4","NaN"
"648","FAAH","NaN"
"649","DMBX1","NaN"
"650","KNCN","NaN"
"651","MKNK1","NaN"
"652","MOB3C","NaN"
"653","ATPAF1","0.999999999999999"
"654","EFCAB14","NaN"
"655","TEX38","NaN"
"656","CYP4B1","NaN"
"657","CYP4Z2P","NaN"
"658","CYP4A11","NaN"
"659","CYP4X1","NaN"
"660","CYP4Z1","NaN"
"661","CYP4A22","0.999999999999999"
"662","PDZK1IP1","NaN"
"663","TAL1","NaN"
"664","STIL","NaN"
"665","CMPK1","0.999999999999999"
"666","FOXE3","NaN"
"667","FOXD2","0.999999999999999"
"668","TRABD2B","NaN"
"669","SLC5A9","NaN"
"670","SPATA6","NaN"
"671","AGBL4","NaN"
"672","BEND5","NaN"
"673","ELAVL4","NaN"
"674","RP11-183G22.1","NaN"
"675","DMRTA2","NaN"
"676","FAF1","NaN"
"677","CDKN2C","0.999999999999999"
"678","C1orf185","NaN"
"679","CFL1P2","NaN"
"680","RNF11","NaN"
"681","TTC39A","NaN"
"682","EPS15","NaN"
"683","OSBPL9","NaN"
"684","SNORA26","NaN"
"685","NRD1","NaN"
"686","RAB3B","NaN"
"687","TXNDC12","NaN"
"688","KTI12","NaN"
"689","BTF3L4","NaN"
"690","ZFYVE9","NaN"
"691","CC2D1B","NaN"
"692","ORC1","0.999999999999999"
"693","PRPF38A","NaN"
"694","ZCCHC11","NaN"
"695","GPX7","NaN"
"696","FAM159A","NaN"
"697","ZYG11B","NaN"
"698","ZYG11A","NaN"
"699","ECHDC2","NaN"
"700","SCP2","NaN"
"701","PODN","NaN"
"702","SLC1A7","NaN"
"703","CPT2","NaN"
"704","C1orf123","NaN"
"705","MAGOH","NaN"
"706","LRP8","NaN"
"707","SLC25A3P1","NaN"
"708","DMRTB1","0.105266754692227"
"709","GLIS1","NaN"
"710","NDC1","NaN"
"711","YIPF1","NaN"
"712","DIO1","0.999999999999998"
"713","HSPB11","NaN"
"714","LRRC42","0.999999999999998"
"715","LDLRAD1","NaN"
"716","TMEM59","NaN"
"717","TCEANC2","NaN"
"718","CDCP2","NaN"
"719","CYB5RL","0.999999999999999"
"720","MRPL37","NaN"
"721","SSBP3","NaN"
"722","ACOT11","NaN"
"723","FAM151A","NaN"
"724","MROH7","0.999999999999999"
"725","TTC4","NaN"
"726","PARS2","NaN"
"727","TTC22","NaN"
"728","C1orf177","NaN"
"729","DHCR24","NaN"
"730","TMEM61","NaN"
"731","BSND","NaN"
"732","PCSK9","NaN"
"733","USP24","0.999999999999998"
"734","RP11-466L17.1","NaN"
"735","PPAP2B","NaN"
"736","PRKAA2","0.999999999999999"
"737","C1orf168","NaN"
"738","C8A","NaN"
"739","C8B","NaN"
"740","DAB1","0.999999999999999"
"741","RP11-393I23.4","NaN"
"742","OMA1","NaN"
"743","TACSTD2","NaN"
"744","MYSM1","NaN"
"745","JUN","0.105266754692227"
"746","FGGY","NaN"
"747","HOOK1","0.999999999999999"
"748","CYP2J2","NaN"
"749","C1orf87","NaN"
"750","NFIA","0.999999999999998"
"751","TM2D1","NaN"
"752","INADL","0.999999999999998"
"753","L1TD1","NaN"
"754","KANK4","0.999999999999999"
"755","USP1","0.999999999999999"
"756","DOCK7","0.999999999999998"
"757","ANGPTL3","NaN"
"758","ATG4C","NaN"
"759","FOXD3","NaN"
"760","ALG6","NaN"
"761","ITGB3BP","NaN"
"762","EFCAB7","0.999999999999998"
"763","PGM1","NaN"
"764","ROR1","NaN"
"765","UBE2U","0.999999999999999"
"766","CACHD1","0.999999999999999"
"767","RAVER2","NaN"
"768","JAK1","0.999999999999999"
"769","MIR101-1","NaN"
"770","AK4","NaN"
"771","DNAJC6","NaN"
"772","LEPR","NaN"
"773","LEPROT","NaN"
"774","PDE4B","NaN"
"775","SGIP1","NaN"
"776","TCTEX1D1","NaN"
"777","INSL5","NaN"
"778","WDR78","NaN"
"779","MIER1","NaN"
"780","SLC35D1","NaN"
"781","C1orf141","NaN"
"782","IL23R","0.999999999999999"
"783","IL12RB2","0.999999999999999"
"784","SERBP1","NaN"
"785","GADD45A","NaN"
"786","GNG12","NaN"
"787","DIRAS3","NaN"
"788","WLS","NaN"
"789","RPE65","NaN"
"790","DEPDC1","0.999999999999999"
"791","LRRC7","0.999999999999998"
"792","LRRC40","0.999999999999998"
"793","SRSF11","0.999999999999999"
"794","ANKRD13C","NaN"
"795","HHLA3","NaN"
"796","CTH","NaN"
"797","PTGER3","0.999999999999999"
"798","ZRANB2","0.999999999999998"
"799","NEGR1","NaN"
"800","LRRIQ3","0.999999999999999"
"801","FPGT","NaN"
"802","FPGT-TNNI3K","0.999999999999999"
"803","TNNI3K","NaN"
"804","LRRC53","NaN"
"805","CRYZ","NaN"
"806","TYW3","NaN"
"807","LHX8","NaN"
"808","SLC44A5","NaN"
"809","RP4-595K12.2","NaN"
"810","ACADM","NaN"
"811","RABGGTB","0.999999999999999"
"812","MSH4","NaN"
"813","ASB17","NaN"
"814","ST6GALNAC3","NaN"
"815","TPI1P1","NaN"
"816","ST6GALNAC5","NaN"
"817","PIGK","NaN"
"818","AK5","NaN"
"819","ZZZ3","0.999999999999999"
"820","USP33","0.999999999999998"
"821","FAM73A","NaN"
"822","NEXN","0.999999999999999"
"823","FUBP1","NaN"
"824","DNAJB4","NaN"
"825","GIPC2","NaN"
"826","PTGFR","NaN"
"827","IFI44L","NaN"
"828","IFI44","NaN"
"829","PSAT1P3","NaN"
"830","ST13P20","NaN"
"831","RP11-413G15.1","NaN"
"832","TTLL7","0.999999999999998"
"833","PRKACB","0.999999999999998"
"834","SAMD13","NaN"
"835","UOX","NaN"
"836","DNASE2B","NaN"
"837","RPF1","NaN"
"838","GNG5","NaN"
"839","SPATA1","NaN"
"840","CTBS","NaN"
"841","SSX2IP","NaN"
"842","LPAR3","NaN"
"843","MCOLN2","NaN"
"844","WDR63","NaN"
"845","MCOLN3","NaN"
"846","SYDE2","NaN"
"847","C1orf52","NaN"
"848","BCL10","NaN"
"849","DDAH1","NaN"
"850","CYR61","NaN"
"851","ZNHIT6","0.999999999999999"
"852","COL24A1","NaN"
"853","ODF2L","0.999999999999999"
"854","CLCA2","0.999999999999999"
"855","CLCA1","NaN"
"856","CLCA4","0.105266754692227"
"857","RP4-651E10.4","NaN"
"858","SH3GLB1","NaN"
"859","SEP15","NaN"
"860","HS2ST1","0.999999999999999"
"861","RP5-1052I5.2","NaN"
"862","LMO4","NaN"
"863","PKN2","0.999999999999999"
"864","GTF2B","NaN"
"865","CCBL2","0.999999999999998"
"866","RBMXL1","NaN"
"867","GBP3","NaN"
"868","GBP1","NaN"
"869","GBP2","0.999999999999999"
"870","GBP7","NaN"
"871","GBP4","NaN"
"872","GBP5","0.105266754692227"
"873","GBP6","NaN"
"874","GBP1P1","NaN"
"875","LRRC8B","NaN"
"876","LRRC8C","NaN"
"877","LRRC8D","NaN"
"878","ZNF326","1"
"879","U3","NaN"
"880","BARHL2","NaN"
"881","ZNF644","0.999999999999999"
"882","HFM1","0.999999999999999"
"883","CDC7","0.999999999999999"
"884","HSP90B3P","NaN"
"885","TGFBR3","NaN"
"886","BRDT","0.105266754692227"
"887","EPHX4","NaN"
"888","BTBD8","0.999999999999999"
"889","KIAA1107","NaN"
"890","C1orf146","NaN"
"891","GLMN","NaN"
"892","RPAP2","NaN"
"893","GFI1","0.999999999999999"
"894","EVI5","NaN"
"895","RPL5","0.999999999999998"
"896","FAM69A","NaN"
"897","SNORA51","NaN"
"898","MTF2","NaN"
"899","TMED5","NaN"
"900","CCDC18","NaN"
"901","DR1","NaN"
"902","FNBP1L","NaN"
"903","BCAR3","NaN"
"904","DNTTIP2","0.999999999999999"
"905","GCLM","NaN"
"906","ABCA4","NaN"
"907","ARHGAP29","0.999999999999999"
"908","ABCD3","0.999999999999998"
"909","F3","NaN"
"910","SLC44A3","NaN"
"911","CNN3","NaN"
"912","ALG14","NaN"
"913","TMEM56","NaN"
"914","RWDD3","NaN"
"915","PTBP2","NaN"
"916","DPYD","0.999999999999998"
"917","MIR137HG","NaN"
"918","SNX7","0.999999999999999"
"919","LPPR5","NaN"
"920","LPPR4","NaN"
"921","PALMD","0.999999999999999"
"922","FRRS1","0.999999999999999"
"923","AGL","NaN"
"924","SLC35A3","NaN"
"925","HIAT1","NaN"
"926","SASS6","NaN"
"927","TRMT13","NaN"
"928","LRRC39","NaN"
"929","DBT","NaN"
"930","RTCA","NaN"
"931","CDC14A","NaN"
"932","GPR88","NaN"
"933","VCAM1","0.999999999999999"
"934","EXTL2","NaN"
