"","Gene","p value"
"555","COL9A2","NaN"
"556","SMAP2","1"
"557","ZFP69B","NaN"
"558","ZFP69","1"
"559","EXO5","NaN"
"560","ZNF684","1"
"561","RIMS3","NaN"
"562","NFYC","0.999999999999999"
"563","KCNQ4","1"
"564","CITED4","NaN"
"565","CTPS1","NaN"
"566","SLFNL1","1"
"567","SCMH1","NaN"
"568","EDN2","NaN"
"569","HIVEP3","1"
"570","GUCA2B","NaN"
"571","GUCA2A","1"
"572","FOXJ3","0.517454023030534"
"573","RIMKLA","1"
"574","ZMYND12","1"
"575","PPCS","NaN"
"576","CCDC30","NaN"
"577","RP11-163G10.2","NaN"
"578","PPIH","NaN"
"579","YBX1","NaN"
"580","CLDN19","NaN"
"581","C1orf50","NaN"
"582","CCDC23","NaN"
"583","ERMAP","1"
"584","ZNF691","NaN"
"585","RP11-342M1.7","NaN"
"586","SLC2A1","NaN"
"587","FAM183A","NaN"
"588","EBNA1BP2","NaN"
"589","TMEM125","NaN"
"590","C1orf210","NaN"
"591","TIE1","NaN"
"592","MPL","NaN"
"593","CDC20","0.999999999999999"
"594","ELOVL1","NaN"
"595","MED8","NaN"
"596","SZT2","0.999999999999999"
"597","HYI","NaN"
"598","PTPRF","0.260376792704078"
"599","KDM4A","0.999999999999999"
"600","ST3GAL3","NaN"
"601","ARTN","NaN"
"602","IPO13","1"
"603","DPH2","NaN"
"604","ATP6V0B","1"
"605","B4GALT2","NaN"
"606","CCDC24","1"
"607","SLC6A9","0.999999999999999"
"608","RP5-1198O20.4","NaN"
"609","KLF17","NaN"
"610","DMAP1","NaN"
"611","ERI3","1"
"612","RNF220","0.999999999999999"
"613","TMEM53","NaN"
"614","C1orf228","NaN"
"615","KIF2C","1"
"616","RPS8","0.999999999999999"
"617","BEST4","1"
"618","PLK3","1"
"619","TCTEX1D4","NaN"
"620","BTBD19","0.942551418035588"
"621","PTCH2","1"
"622","EIF2B3","0.517454023030534"
"623","HECTD3","NaN"
"624","UROD","1"
"625","ZSWIM5","NaN"
"626","HPDL","NaN"
"627","MUTYH","0.999999999999999"
"628","TOE1","1"
"629","TESK2","0.942551418035588"
"630","CCDC163P","NaN"
"631","MMACHC","NaN"
"632","PRDX1","NaN"
"633","AKR1A1","0.999999999999999"
"634","NASP","0.999999999999999"
